epoch,d_loss,g_loss,seconds,gan_type
1,0.583863,6.804850,10.58,dcgan
2,0.513360,4.638315,9.89,dcgan
3,0.558273,4.133059,9.53,dcgan
4,0.557914,3.744830,9.30,dcgan
5,0.448228,4.098961,9.50,dcgan
6,0.550607,3.577780,9.58,dcgan
7,0.663004,3.428792,9.59,dcgan
8,0.705021,3.041601,9.53,dcgan
9,0.760003,2.893410,9.61,dcgan
10,0.719986,2.804143,9.71,dcgan
11,0.712996,2.722360,9.50,dcgan
12,0.644337,2.755917,9.59,dcgan
13,0.712354,2.637153,9.45,dcgan
14,0.777105,2.503255,9.54,dcgan
15,0.751607,2.474540,9.42,dcgan
16,0.814704,2.461837,9.52,dcgan
17,0.767414,2.348124,9.65,dcgan
18,0.747745,2.413367,9.50,dcgan
19,0.788097,2.423309,9.78,dcgan
20,0.796461,2.424270,9.92,dcgan
21,0.729993,2.388545,9.88,dcgan
22,0.771183,2.420923,9.87,dcgan
23,0.758069,2.415766,9.90,dcgan
24,0.738705,2.481722,10.17,dcgan
25,0.726640,2.452096,9.87,dcgan
26,0.719189,2.464141,9.79,dcgan
27,0.870445,2.511559,10.07,dcgan
28,0.675533,2.411946,9.86,dcgan
29,0.772254,2.476491,9.72,dcgan
30,0.734658,2.496597,9.86,dcgan
31,0.739331,2.451614,9.91,dcgan
32,0.714710,2.525115,9.72,dcgan
33,0.676205,2.542536,9.88,dcgan
34,0.751196,2.583302,9.72,dcgan
35,0.668010,2.542539,9.89,dcgan
36,0.729633,2.555700,9.84,dcgan
37,0.686040,2.588584,9.83,dcgan
38,0.630093,2.633723,9.96,dcgan
39,0.684094,2.616421,9.78,dcgan
40,0.683010,2.655922,9.93,dcgan
41,0.596286,2.701826,9.97,dcgan
42,0.772513,2.785286,9.90,dcgan
43,0.602553,2.652020,10.13,dcgan
44,0.621308,2.719645,10.04,dcgan
45,0.725414,2.747988,10.12,dcgan
46,0.503935,2.705271,9.92,dcgan
47,0.613170,2.804449,9.70,dcgan
48,0.703332,2.775835,9.71,dcgan
49,0.567312,2.808327,10.03,dcgan
50,0.655767,2.742866,9.94,dcgan
51,0.607760,2.814053,9.95,dcgan
52,0.561819,2.838822,10.00,dcgan
53,0.681012,2.865408,10.04,dcgan
54,0.574383,2.849080,10.05,dcgan
55,0.609484,2.819706,10.01,dcgan
56,0.505828,2.971158,9.88,dcgan
57,0.619501,2.983027,9.92,dcgan
58,0.598253,2.986111,10.04,dcgan
59,0.536294,2.950519,9.90,dcgan
60,0.526358,2.982876,9.88,dcgan
61,0.545820,3.071755,9.91,dcgan
62,0.522851,3.119887,9.87,dcgan
63,0.656700,2.978150,9.90,dcgan
64,0.569984,3.038599,10.04,dcgan
65,0.424452,3.088831,9.78,dcgan
66,0.541430,3.136487,9.76,dcgan
67,0.512889,3.205019,9.99,dcgan
68,0.465842,3.202730,10.06,dcgan
69,0.563662,3.239222,9.81,dcgan
70,0.494832,3.198018,9.89,dcgan
71,0.467862,3.287736,9.92,dcgan
72,0.538895,3.230870,9.71,dcgan
73,0.444324,3.337259,9.82,dcgan
74,0.526547,3.329525,10.04,dcgan
75,0.425948,3.507713,9.94,dcgan
76,0.556991,3.281197,9.65,dcgan
77,0.484218,3.425009,9.78,dcgan
78,0.320502,3.615223,10.02,dcgan
79,0.532723,3.517810,9.86,dcgan
80,0.464181,3.620743,9.43,dcgan
81,0.450372,3.573513,9.65,dcgan
82,0.486187,3.594595,9.93,dcgan
83,0.324267,3.721367,9.79,dcgan
84,0.475378,3.676565,9.71,dcgan
85,0.431857,3.753996,9.74,dcgan
86,0.460442,3.661480,9.90,dcgan
87,0.425865,3.803817,9.79,dcgan
88,0.380675,3.849272,9.76,dcgan
89,0.427612,3.785172,9.95,dcgan
90,0.396437,3.887422,9.81,dcgan
91,0.394493,3.825110,9.64,dcgan
92,0.382942,3.918631,9.73,dcgan
93,0.564798,3.971094,9.66,dcgan
94,0.288935,3.909480,9.64,dcgan
95,0.366983,4.099514,9.89,dcgan
96,0.457539,4.025555,9.81,dcgan
97,0.279232,4.043621,9.78,dcgan
98,0.329127,4.141821,9.67,dcgan
99,0.403852,4.062991,9.94,dcgan
100,0.622012,3.886647,9.86,dcgan
